,Title,congress_num,Legislation Number,URL,Date of Introduction,Latest Action Date,Sponsor,Number of Cosponsors,Committees,allsubjects,summary,passed,officehistorian,tag_reform,tag_financial,financial type,tag_workforce,tag_foreign,tag_aid,tag_dod,tag_other
10,"A bill to amend the Foreign Service Act of 1980 to remove the requirement that the Director General and the Chairman of the Board of the Foreign Service be members of the Senior Foreign Service and to clarify the definition of ""Management Officials"" as used in chapter 10 of title I of the act.",100,H.R. 1377,https://www.congress.gov/bill/100th-congress/house-bill/1377,3/3/87,3/16/87,"Solomon, Gerald B. H. [Rep.-R-NY-24]",0,House - Foreign Affairs,"Civil service employment, Collective bargaining, Department of State, Employee-management relations in government, Federal employees, Federal employees and officials, Federal officials, Foreign service, Government Operations and Politics, Labor and Employment",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
11,"A bill to amend the Foreign Service Act of 1980 to remove the requirement that the Director General of the Foreign Service and the chairman of the Board of the Foreign Service be members of the Senior Foreign Service and to clarify the definition of ""Management officials"" as used in chapter 10 of title I of that Act.",99,H.R. 710,https://www.congress.gov/bill/99th-congress/house-bill/710,1/24/85,2/7/85,"Solomon, Gerald B. H. [Rep.-R-NY-24]",0,House - Foreign Affairs,"Civil service employment, Collective bargaining, Department of State, Employee-management relations in government, Federal employees, Federal employees and officials, Foreign service, Government Operations and Politics, Labor and Employment",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
12,"A bill to amend the Foreign Service Act of 1980 to remove the requirement that the Director General of the Foreign Service and the chairman of the Board of the Foreign Service be members of the Senior Foreign Service and to clarify the definition of ""management officials"" as used in chapter 10 of title I of that Act.",98,H.R. 5266,https://www.congress.gov/bill/98th-congress/house-bill/5266,3/27/84,8/28/84,"Solomon, Gerald B. H. [Rep.-R-NY-24]",0,House - Foreign Affairs,"Department of State, Employee-management relations in government, Foreign service, International Affairs, Labor and Employment, Public service employment",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
13,A bill to amend the Foreign Service Act of 1980 with respect to the number of chiefs of diplomatic mission who are career members of the Foreign Service.,97,S. 1886,https://www.congress.gov/bill/97th-congress/senate-bill/1886,11/23/81,4/28/82,"Mathias, Charles McC., Jr. [Sen.-R-MD]",0,Senate - Foreign Relations,"Department of State, Foreign service, International Affairs",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
14,A bill to amend the State Department Basic Authorities Act of 1956 to establish within the Department of State an Under Secretary of State for Security.,106,S. 2140,https://www.congress.gov/bill/106th-congress/senate-bill/2140,3/2/00,3/2/00,"Grams, Rod [Sen.-R-MN]",0,Senate - Foreign Relations,"Congress, Congress and foreign policy, Congressional reporting requirements, Department of State, Embassies, International Affairs, Government Operations and Politics, Federal officials, Executive reorganization, Security measures",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
15,"A bill to authorize additional appropriations for fiscal years 1980 and 1981 for the Department of State and the Board for International Broadcasting, and for other purposes.",96,H.R. 7305,https://www.congress.gov/bill/96th-congress/house-bill/7305,5/8/80,5/15/80,"Zablocki, Clement J. [Rep.-D-WI-4]",12,House - Foreign Affairs,"Americans employed in foreign countries, Americans in foreign countries, Arts, Culture, Religion, Authorization, Board for International Broadcasting, Broadcasting, Citizenship, Civil service employment, Communications and Broadcasting, Compensation for victims of crime, Conferences, Conflict of interests, Corporations and Stocks, Crime prevention, Government Operations and Politics, Government procurement, History, Immigration, International Affairs, International agencies, International cooperation in telecommunication, International law, International obligations, Latin America, Middle East, Motion pictures, North America, Passports, Peace, Presidential appointments, Radio broadcasting, Telecommunication policy, United Nations, Yugoslavia, Cultural relations, Department of State, Economics and Public Finance, Federal employees, Federal employees and officials, Geography and mapping, Government corporations, Public Contracts, Procurement, and Property",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
16,A bill to authorize additional appropriations for the Department of State for fiscal year 1977.,95,"H.R. 5040, H.R. 4619",https://www.congress.gov/bill/95th-congress/house-bill/5040,3/15/77,3/8/77,"Fascell, Dante B. [Rep.-D-FL-15], Fascell, Dante B. [Rep.-D-FL-15]",14,House - International Relations | Senate - Foreign Relations,"Africa, American economic assistance, Americans in foreign countries, Authorization, Canada, Conferences, Congress, Congress and foreign policy, Congressional allowances, Congressional committees, Congressional delegations, Crime and Law Enforcement, Department of State, Diplomats, East Asia, Economics and Public Finance, Emigration, Europe, Foreign service, Government Operations and Politics, International Affairs, International agencies, Latin America, Legal assistance to prisoners, Mexico, Middle East, NATO countries, Prisoners, Refugees, South Asia, Treaties, U.S. Agency for International Development, United States Information Agency",-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
17,A bill to authorize additional appropriations for the Department of State for fiscal year 1978.,95,"S. 2495, H.R. 10696",https://www.congress.gov/bill/95th-congress/senate-bill/2495,2/6/78,2/1/78,"Sparkman, John J. [Sen.-D-AL], Fascell, Dante B. [Rep.-D-FL-15]",1,Senate - Foreign Relations,"Authorization, Conferences, Department of State, Economics and Public Finance, International Affairs, International agencies",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
18,A bill to authorize additional appropriations for the Department of State for migration and refugee assistance for fiscal years 1980 and 1981.,96,S. 1668,https://www.congress.gov/bill/96th-congress/senate-bill/1668,8/3/79,11/2/79,"Church, Frank [Sen.-D-ID]",1,Senate - Foreign Relations,"American civilian assistance, American economic assistance, Authorization, Cambodia, International agencies, Disaster relief, Economics and Public Finance, Government Operations and Politics, Immigration, International Affairs, Refugees",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
19,A bill to authorize additional appropriations for the Department of State for the fiscal year 1986 for the purpose of expanding and modernizing the facilities of the Coordinating Committee on Export Controls and to provide for appointment by the Secretary of State of the members of the United States Permanent Delegation to the Coordinating Committee.,99,H.R. 3165,https://www.congress.gov/bill/99th-congress/house-bill/3165,8/1/85,8/9/85,"Bonker, Don [Rep.-D-WA-3]",0,House - Foreign Affairs,"Authorization, Department of State, Economics and Public Finance, Export controls, Exports, Foreign Trade and Investments, Foreign service, Foreign Trade and International Finance, International agencies",-,FALSE,TRUE,TRUE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
20,A bill to authorize appropriations for fiscal year 1991 for the Department of State.,101,S. 2296,https://www.congress.gov/bill/101st-congress/senate-bill/2296,3/20/90,5/23/90,"Pell, Claiborne [Sen.-D-RI]",0,Senate - Foreign Relations,"Authorization, Conferences, Foreign service, Government Operations and Politics, Inspectors general, International Affairs, International agencies, International military forces, Refugee policy, Scientific exchanges, Taiwan",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
21,"A bill to authorize appropriations for fiscal years 1980 and 1981 for the Department of State, the International Communication Agency, and the Board for International Broadcasting.",96,H.R. 3003,https://www.congress.gov/bill/96th-congress/house-bill/3003,3/15/79,3/15/79,"Fascell, Dante B. [Rep.-D-FL-15]",18,House - Foreign Affairs,"Advisory bodies, Alien labor, Americans in foreign countries, Arts, Culture, Religion, Authorization, Board for International Broadcasting, Civil Rights and Liberties, Minority Issues, Congressional committees, Congressional committees (House), Cultural relations, Department of State, Economics and Public Finance, Education, Educational exchanges, Federal advisory bodies, Foreign service, Government Operations and Politics, House of Representatives, Immigration, International Affairs, International obligations, Israel, Land transfers, Language and languages, Motion pictures, Public Lands and Real Property, Public Lands and Natural Resources, Radio broadcasting, Refugees, Science and technology, Science, Technology, Communications, Scientific exchanges, Teachers, Teaching, Treaties, United Nations, Communications and Broadcasting, International agencies",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
22,"A bill to authorize appropriations for fiscal years 1982 and 1983 for the Department of State, the International Communication Agency, and the Board for International Broadcasting, and for other purposes.",97,"H.R. 4635, H.R. 4814, H.R. 3518",https://www.congress.gov/bill/97th-congress/house-bill/4635,9/30/81,10/26/81,"Fascell, Dante B. [Rep.-D-FL-15], Fascell, Dante B. [Rep.-D-FL-15], Fascell, Dante B. [Rep.-D-FL-15]",13,House - Foreign Affairs,"American economic assistance, Americans employed in foreign countries, Americans in foreign countries, Arts, Culture, Religion, Authorization, Board for International Broadcasting, Breast feeding, Broadcasting, Child health, Children and youth, Citizenship, Civil Rights and Liberties, Minority Issues, Civil service compensation, Civil service employment, Civil service system, Communications and Broadcasting, Conferences, Credit, Department of State, Department of the Treasury, Diplomatic privileges and immunities, Diplomats, District of Columbia, Economics and Public Finance, Executive reorganization, Federal employees and officials, Federally-guaranteed loans, Finance and Financial Sector, Food and Food Industry, Foreign exchange, Foreign news, Foreign service, Freedom of the press, Government Operations and Politics, Government procurement, Government trust funds, Immigration, Inter-American Foundation, International Affairs, International agencies, International monetary system, Journalistic ethics, Labor and Employment, Land transfers, Monetary policy, Money, Motion pictures, Motor vehicles, Newspapers and Periodicals, Nutrition policy, Palestinians, Passports, Poland, Public Contracts, Procurement, and Property, Public Lands and Real Property, Radio broadcasting, Refugees, Science, Technology, Communications, Scientific exchanges, Trade agreements, Treaties, U.S.S.R., United Nations, United Nations finances, Women's health, Women's rights, Workers' compensation, Yugoslavia",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
23,"A bill to authorize appropriations for fiscal years 1984 and 1985 for the Department of State, the United States Information Agency, the Board for International Broadcasting, the Inter-American Foundation, and the Asia Foundation, to establish the National Endowment for Democracy, and for other purposes.",98,H.R. 2915,https://www.congress.gov/bill/98th-congress/house-bill/2915,5/5/83,11/22/83,"Fascell, Dante B. [Rep.-D-FL-19]",2,House - Foreign Affairs,"Agricultural policies, Air pollution control, Aliens, Ambassadors, American economic assistance, American military assistance, Americans in foreign countries, Argentina, Arms control agreements, Arts, Culture, Religion, Asia, Auditing, Authorization, Baltic States, Board for International Broadcasting, Books, Cambodia, Canada, Catholic Church, Censorship, Civil Rights and Liberties, Minority Issues, Civil service compensation, Communication policy, Communications and Broadcasting, Conferences, Congressional delegations, Congressional oversight, Congressional veto, Corporations and Stocks, Cuba, Cultural relations, Democracy, Department of State, Deportation, Dioxins, EEC countries, Eastern Europe, Economics and Public Finance, Educational exchanges, Educational research, Egypt, El Salvador, Embassies, Endangered species, Energy prices, Executive reorganization, Federal advisory bodies, Federal employees and officials, Federal incorporation, Federal officials, Fishery management, Foreign service, Foundations, Government employees' political activities, Government Operations and Politics, Government procurement, Herbicides, Homicide, Immigration, Immunities of foreign states, Imports, India, Information policy, International Affairs, International broadcasting, International control of nuclear power, International environmental cooperation, International organization, Iran, Israel, Japan, Lebanon, Legislative bodies, Lobbying, Mexico, Motion pictures, Narcotic traffic, Nuclear exports, Peace, Plant conservation, Position classification, Radio broadcasting, Recognition (International law), Refugees, Religious liberty, Reprogramming of appropriated funds, Scholarships, Social Welfare, South Africa, Supplemental appropriations, Syria, Telecommunication policy, Territories (U.S.), Trade fairs, Transboundary pollution, Trust Territory of the Pacific Islands, U.S.S.R., United Nations, United Nations finances, United Nations membership, United States Information Agency, Vatican City, Volunteer workers, Voting, War and emergency powers, West Germany, Wildlife conservation, Women, Women and religion, Youth, Youth services",-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
24,"A bill to authorize appropriations for fiscal years 1984 and 1985 for the Department of State, the United States Information Agency, the Board for International Broadcasting, the Inter-American Foundation, and the Asia Foundation, to establish the National Endowment for Democracy, to provide for United States policy toward South Africa, and for other purposes.",98,H.R. 2914,https://www.congress.gov/bill/98th-congress/house-bill/2914,5/5/83,5/5/83,"Fascell, Dante B. [Rep.-D-FL-19]",17,House - Foreign Affairs,"Advisory bodies, American investments, Arts, Culture, Religion, Authorization, Board for International Broadcasting, Business and commerce, Coins and coinage, Communication policy, Communications and Broadcasting, Conferences, Corporations and Stocks, Credit, Democracy, Department of State, Deportation, Discrimination in employment, Economics and Public Finance, Embassies, Executive reorganization, Federal advisory bodies, Federal incorporation, Finance and Financial Sector, Financial institutions, Foreign Trade and Investments, Foundations, Gold, Government and business, Government Operations and Politics, Immigration, Imports, Information policy, International Affairs, International broadcasting, International corporations, Labor and Employment, Loans, Mexico, Monetary policy, Money, Motion pictures, Radio broadcasting, Refugees, South Africa, Telecommunication policy, United Nations, United Nations finances, United Nations membership, United States Information Agency",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
25,"A bill to authorize appropriations for fiscal years 1986 and 1987 for the Department of State, the United States Information Agency, the Board of International Broadcasting, and for other purposes.",99,H.R. 1931,https://www.congress.gov/bill/99th-congress/house-bill/1931,4/3/85,5/14/85,"Mica, Daniel Andrew [Rep.-D-FL-14]",9,"House - Foreign Affairs, Public Works and Transportation","Africa, Alien labor, American economic assistance, Americans employed in foreign countries, Americans in foreign countries, Anniversaries, Australia, Authorization, Board for International Broadcasting, Civil service compensation, Civil service employment, Communications and Broadcasting, Congress and Members of Congress, Congressional oversight, Crime and Law Enforcement, Criminal procedure and sentencing, Criminal justice information, Cultural relations, Democratic Party, Department of Commerce, Department of State, Dispute settlement, Drugs and narcotics, Economics and Public Finance, Educational exchanges, Embassies, Export controls, Extradition, Extradition agreements, Federal employees, Federal employees and officials, Federal installations, Federal officials, Firearms, Foreign service, Foreign Trade and International Finance, Government Operations and Politics, Government trust funds, Immigration, International Affairs, International agencies, International arbitration, International broadcasting, International military forces, Israel, Local and Municipal Government, Local finance, Maritime law, Mexico, Middle East, Narcotic traffic, Passports, Protection of foreign officials, Radio broadcasting, Refugees, Republican Party, Salaries, Searches and seizures, State finance, States, Thailand, Tourist trade, Transportation and Travel, Treaties, United Nations, United Nations economic assistance, United States Information Agency",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
26,A bill to authorize appropriations for the Global Engagement Center of the Department of State.,117,S. 2026,https://www.congress.gov/bill/117th-congress/senate-bill/2026,6/10/21,6/10/21,"Portman, Rob [Sen.-R-OH]",1,Senate - Foreign Relations,"International Affairs, Government information and archives, Subversive activities, Department of State, Executive agency funding and structure",This bill authorizes the appropriation of $150 million in FY2022 for the Global Engagement Center of the Department of State to counter foreign state and non-state sponsored propaganda and disinformation.,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
27,A bill to authorize appropriations to the Department of State for contribution to the International Commission of Control and Supervision in Vietnam.,93,S. 3562,https://www.congress.gov/bill/93rd-congress/senate-bill/3562,6/3/74,6/3/74,"Church, Frank [Sen.-D-ID]",0,Senate - Foreign Relations,"Appropriations, Department of State, Economics and Public Finance, Vietnam, Vietnamese Conflict",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
28,A bill to authorize certain officers and employees of the Department of State and of the Foreign Service to carry firearms for the purpose of protecting designated individuals.,93,S. 4103,https://www.congress.gov/bill/93rd-congress/senate-bill/4103,10/9/74,10/9/74,"Fulbright, James [Sen.-D-AR]",0,Senate - Foreign Relations,"Department of State, Firearms, Foreign service, Government Operations and Politics, International Affairs",-,FALSE,TRUE,FALSE,TRUE,DOS,TRUE,FALSE,FALSE,FALSE,FALSE
29,A bill to authorize certain officers and employees of the Department of State and the Foreign Service to carry firearms for the purpose of protecting designated individuals.,94,S. 1942,https://www.congress.gov/bill/94th-congress/senate-bill/1942,6/16/75,6/16/75,"Sparkman, John J. [Sen.-D-AL]",0,Senate - Foreign Relations,"Department of State, Firearms, Foreign service, International Affairs, Political crimes",-,FALSE,TRUE,FALSE,TRUE,DOS,TRUE,FALSE,FALSE,FALSE,FALSE
30,A bill to authorize special agents of the Department of State to make arrests during the investigation of passport and visa law violations and to carry firearms.,94,S. 3351,https://www.congress.gov/bill/94th-congress/senate-bill/3351,4/29/76,4/29/76,"Sparkman, John J. [Sen.-D-AL]",0,Senate - Foreign Relations,"Aliens, Crime and Law Enforcement, Department of State, Government Operations and Politics, Immigration, Immigration law, Passports, Public safety, Visas",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
31,A bill to designate the National Foreign Affairs Training Center as the George P. Shultz National Foreign Affairs Training Center.,107,S. 1778,https://www.congress.gov/bill/107th-congress/senate-bill/1778,12/6/01,12/6/01,"Lugar, Richard G. [Sen.-R-IN]",3,Senate - Foreign Relations,"Foreign service, Government Operations and Politics, Federal employees, Employee training, Department of State, Congressional tributes, Congress, Commemorations, Cabinet officers, Reagan Administration, Names, Labor and Employment, International Affairs, History",-,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE
32,A bill to establish a national policy for the application of science and technology to United States foreign policy.,95,H.R. 11548,https://www.congress.gov/bill/95th-congress/house-bill/11548,3/14/78,3/14/78,"Zablocki, Clement J. [Rep.-D-WI-4]",10,House - International Relations,"Advisory bodies, Department of State, Executive Office of the President, Federal advisory bodies, Government Operations and Politics, International Affairs, Science and technology, Science, Technology, Communications",-,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE
33,"A bill to establish in the Department of State a Bureau of North American Affairs, and for other purposes.",97,S. 606,https://www.congress.gov/bill/97th-congress/senate-bill/606,3/3/81,3/3/81,"Baucus, Max [Sen.-D-MT]",8,Senate - Foreign Relations,"Bahamas, Canada, Caribbean area, Department of State, Executive reorganization, Federal officials, Government Operations and Politics, International Affairs, Mexico",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
34,A bill to establish in the Department of State the position of Under Secretary of  State for Agricultural Affairs.,97,S. 3065,https://www.congress.gov/bill/97th-congress/senate-bill/3065,12/2/82,12/2/82,"Pryor, David H. [Sen.-D-AR]",3,Senate - Foreign Relations,"Agricultural policies, Department of State, Executive reorganization, Federal officials, Government Operations and Politics",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
35,A bill to establish in the Department of State the position of Under Secretary of State for Agricultural Affairs.,98,"S. 534, H.R. 4221",https://www.congress.gov/bill/98th-congress/senate-bill/534,2/17/83,11/3/83,"Pryor, David H. [Sen.-D-AR], Fazio, Vic [Rep.-D-CA-4]",14,Senate - Foreign Relations,"Agricultural policies, Department of State, Executive reorganization, Federal officials, Agriculture and Food",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
36,"A bill to establish within the Department of State a Bureau of Humanitarian Affairs, and for other purposes.",93,H.R. 10455,https://www.congress.gov/bill/93rd-congress/house-bill/10455,9/20/73,9/20/73,"Fraser, Donald M. [Rep.-D-MN-5]",0,House - Foreign Affairs,"Department of State, Economic assistance, Human rights, International Affairs, Military assistance",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
37,A bill to establish within the Department of State a Bureau of Oceans and International Environmental Affairs to be headed by an Assistant Secretary of State.,93,S. 1430,https://www.congress.gov/bill/93rd-congress/senate-bill/1430,3/29/73,3/29/73,"Pell, Claiborne [Sen.-D-RI]",6,Senate - Foreign Relations,"Department of State, Environmental Protection, Government Operations and Politics, Oceans and oceanography",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
38,A bill to establish within the Department of State an Assistant Secretary for Claims Against Foreign Ministers and Diplomats; to award just compensation for such claims.,94,S. 3826,https://www.congress.gov/bill/94th-congress/senate-bill/3826,9/16/76,9/16/76,"Hathaway, William D. [Sen.-D-ME]",0,Senate - Foreign Relations,"Damages, Department of State, Diplomatic privileges and immunities, Diplomats, Government liability, Government Operations and Politics, International Affairs, Law, Liability (Law), Torts",-,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
39,A bill to establish within the Department of State an Assistant Secretary for Claims Against Foreign Ministers and Diplomats; to award just compensation for such claims.,95,"S. 478, H.R. 1536",https://www.congress.gov/bill/95th-congress/senate-bill/478,1/26/77,1/6/77,"Hathaway, William D. [Sen.-D-ME], Solarz, Stephen J. [Rep.-D-NY-13]",2,Senate - Foreign Relations,"Claims, Department of State, Diplomatic privileges and immunities, Federal officials, Government liability, Government Operations and Politics, International Affairs, Law, Recognition (International law), Torts",-,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
40,A bill to further amend the Foreign Service Act of 1946 to improve the Foreign Service Personnel System.,95,S. 1161,https://www.congress.gov/bill/95th-congress/senate-bill/1161,3/29/77,3/29/77,"Sparkman, John J. [Sen.-D-AL]",0,Senate - Foreign Relations,"Alien labor, Americans employed in foreign countries, Citizenship, Crime and Law Enforcement, Department of State, Diplomats, Employee benefit plans, Federal employees and officials, Foreign service, Immigration, Imprisonment, International Affairs, Labor and Employment, Presidential appointments, Retired military personnel, Retirement",-,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
41,A bill to further amend the Foreign Service Act of 1946 to improve the foreign service personnel system.,95,H.R. 6341,https://www.congress.gov/bill/95th-congress/house-bill/6341,4/19/77,4/19/77,"Nix, Robert N. C. [Rep.-D-PA-2]",0,"House - International Relations, Post Office and Civil Service","Alien labor, Americans employed in foreign countries, Citizenship, Crime and Law Enforcement, Department of State, Diplomats, Employee benefit plans, Federal employees and officials, Foreign service, Immigration, Imprisonment, International Affairs, Labor and Employment, Presidential appointments, Retired military personnel, Retirement",-,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
